vehicle_id,model_name,drivetrain_type,chart_type,cost_component,value
DSL007,Volvo FH,Diesel,diesel,Maintenance (NPV),262541.6645851796
DSL007,Volvo FH,Diesel,diesel,Insurance (PV),112307.89997311408
DSL007,Volvo FH,Diesel,diesel,Taxes & Fees (PV),79729.01003837708
DSL007,Volvo FH,Diesel,diesel,Payload/Charging Penalties (NPV),0.0
DSL007,Volvo FH,Diesel,diesel,Final TCO (NPV),1458731.0194051762
DSL008,Scania R560,Diesel,diesel,Asset Cost,309000.0
DSL008,Scania R560,Diesel,diesel,Residual Value (PV),-28562.315468208948
DSL008,Scania R560,Diesel,diesel,Fuel (NPV),742410.6059121671
DSL008,Scania R560,Diesel,diesel,Maintenance (NPV),262541.6645851796
DSL008,Scania R560,Diesel,diesel,Insurance (PV),118847.08453716786
DSL008,Scania R560,Diesel,diesel,Taxes & Fees (PV),80329.01003837708
DSL008,Scania R560,Diesel,diesel,Payload/Charging Penalties (NPV),0.0
DSL008,Scania R560,Diesel,diesel,Final TCO (NPV),1484566.0496046827
